class_id	class_smarts
Kopsane	[*,#1]-[#7]1-c2ccccc2C23[#6]-4-[#6]-[#6]5-[#6]C6([#6]-,=[#6]-[#6]-[#7](-[#6]-4)-[#6]26)[#6]-[#6]C135
Lapidilectine	[*,#1]-[#7]1-c2ccccc2-[#6]2-[#6]-[#6]-[#7]3-[#6]-[#6]-,=[#6]C33[#6]-[#6]C12[#6]-[#6]3
Leuconoxane	[#6]-[#6]C12[#6]-[#6]-[#6]-[#7]3-[#6]-[#6]-,=[#6]4-c5ccccc5-[#7](-[#6]-[#6]-[#6]1)C234
Macroline	[#6]-[#6]-[#6](-[#6])-[#6]-1-[#6]-[#6]-2-[#7](-[*,#1])-[#6](-[#6]-c3c-2n(-[*,#1])c2ccccc32)-[#6]-1-[#6]
Malindane	[#6]-[#6]-1-[#7]-2-[#6]-[#6]-c3c(-[#6]-2-[#6]-c2ccncc-12)n(-[*,#1])c1ccccc31
Melodinus	[*,#1]-[#7]-1-[#6]-[#6]2-[#6]-[#6]-3-[#6]-,=[#6]-[#6]-[#7]-4-[#6]-[#6]C2([#6]-3-4)c2ccccc-12
Mersinlonginan	[*,#1]-[#7]-1-[#6]-[#6]C23[#6]-,=[#6]-[#6]-[#6]-[#6]2-[#6]-1-[#7](-[*,#1])-c1ccccc31
Melonine	[#6]-[#6]C12[#6]-[#6]-[#6]3-[#7](-[#6]-[#6]-[#6]4-c5ccccc5-[#7](-[*,#1])C34[#6]-[#6]1)-[#6]2
Nacycline	[#6]-,=[#6]-[#6]-1-[#6]-2-[#6]-,=[#6]-[#7](-[*,#1])-[#6]-1-n1c3ccccc3c3ccnc(-[#6]-2)c13
Pandoline	[*,#1]-[#7]-1-[#6]2-,=[#6]-[#6]-3-[#6]-4-[#6]-[#6]-[#6]-3-[#7]-3-[#6]-[#6]C2([#6]-4-3)c2ccccc-12
Arboridinan	[#6]-1-[#6]-2-[#6]-[#7]-3-[#6]-[#6]-1-[#6]1=[#7]-c4ccccc4C1([#6]-2)[#6]-[#6]-3
Arborisidinan	[#6]-1-[#6]-[#7]-2-[#6]-[#6]C34[#6]-[#6]-[#6]-1-[#6]-2-[#6]3=[#7]-c1ccccc41
Pleiocarpamane	[#6]-1-[#6]-[#7]-2-[#6]-[#6]-[#6]-3-[#6]-[#6]-2-[#6]-2~[#6]-1-c1ccccc1-[#7]-2-[#6]-3
Pyridocarbazole	[#6]-c1c2n(-[*,#1])c3ccccc3c2cc2cnccc12
Quebrachamine	[#6]-[#6]C12[#6]-,=[#6]C([#1,!#6])([#1,!#6])[#7](-[#6]1)-[#6]-[#6]-c1c(-[#6]-[#6]2)n(-[*,#1])c2ccccc12
Rhazidane	[*,#1]-[#7]1-c2ccccc2-[#6]2-[#6]-[#6][N+]34[#6]-[#6]-,=[#6]-[#6](-[#6]-[#6]C123)-[#6]4
Rhazinilam	[*,#1]-[#7]-1-c2ccccc2-[#6]~2=[#6]~[#6]-[#7]-3-[#6]~[#6]-[#6]-[#6](-[#6]-[#6]-[#6]-1=O)-[#6]~2-3
Sarpagine	[*,#1]-n1c2-[#6]-3-[#6]-[#6]-4-[#6]-[#6]-[#7]-3-[#6](-[#6]-4)-[#6]-c2c2ccccc12
Schizozygane	[#6]~1~[#6]-[#7]-2-[#6]-[#6]~[#6]3-c4ccccc4-[#7]4-[#6]-[#6]C5([#6]~1)[#6]-[#6]C34[#6]-25
Seco.Schizozygane	[#6]-[#6]C12[#6]~[#6]~[#6]-[#7]-3-[#6]-[#6]~[#6]4-c5ccccc5-[#7](-[*,#1])C4([#6]-[#6]1)[#6]2-3
Strictosidine	[#6]~[#6]-[#6]-1-[#6]-[#8]-[#6]~[#6](-[#6])-[#6]-1-[#6]-[#6]-1-[#7](-[*,#1])C([#1,!#6])([#1,!#6])[#6]-c2c-1n(-[*,#1])c1ccccc21
Pauridianthinane	[#6]-1-[#6]-c2cnccc2-[#6]-1-c1nccc2c3ccccc3nc12
Geissolaevan	[*,#1]-n1c2ccccc2c2ccnc(-[#6]-3-[#6]~[#6]-[#6]-[#8]-3)c12
